Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000562	2	2	2	2	1	4	core
OG0000563	2	2	1	3	1	4	core
OG0000564	2	2	2	2	1	4	core
OG0000565	2	2	2	2	1	4	core
OG0000566	2	2	2	2	1	4	core
OG0000567	2	2	2	2	1	4	core
OG0000568	2	2	2	2	1	4	core
OG0000569	2	2	2	2	1	4	core
OG0000570	2	2	2	2	1	4	core
OG0000571	2	2	2	2	1	4	core
OG0000572	2	2	2	2	1	4	core
OG0000573	2	2	2	2	1	4	core
OG0000574	2	2	2	2	1	4	core
OG0000575	2	2	2	2	1	4	core
OG0000576	2	2	2	2	1	4	core
OG0000577	2	2	2	2	1	4	core
OG0000578	2	2	2	2	1	4	core
OG0000579	2	2	2	2	1	4	core
OG0000580	2	2	2	2	1	4	core
OG0000581	1	2	2	2	2	4	core
OG0000582	2	2	2	2	1	4	core
OG0000583	2	2	2	2	1	4	core
OG0000584	2	2	2	2	1	4	core
OG0000585	2	2	2	2	1	4	core
OG0000586	2	2	2	2	1	4	core
OG0000587	2	2	2	2	1	4	core
OG0000588	2	2	2	2	1	4	core
OG0000589	2	2	2	2	1	4	core
OG0000590	2	2	2	2	1	4	core
OG0000591	1	1	2	4	1	4	core
OG0000592	2	2	2	2	1	4	core
OG0000593	2	2	2	2	1	4	core
OG0000594	2	2	2	2	1	4	core
OG0000595	2	2	2	2	1	4	core
OG0000596	1	2	2	2	2	4	core
OG0000597	2	2	2	2	1	4	core
OG0000598	2	2	2	2	1	4	core
OG0000599	2	2	2	2	1	4	core
OG0000600	2	2	2	2	1	4	core
OG0000601	2	2	2	2	1	4	core
OG0000602	2	2	2	2	1	4	core
OG0000603	2	2	2	2	1	4	core
OG0000604	2	2	2	2	1	4	core
OG0000605	2	2	2	2	1	4	core
OG0000606	2	2	2	2	1	4	core
OG0000607	2	2	2	2	1	4	core
OG0000608	2	2	2	2	1	4	core
OG0000609	2	2	2	2	1	4	core
OG0000610	2	2	2	2	1	4	core
